transaction_id,retailer,retailer_id,invoice_date,product,price_per_unit,units_sold,total_sales,sales_method
1,West Gear,1128299,1/1/2021,Men's Athletic Footwear,65,750,487500,Outlet
2,West Gear,1128299,1/2/2021,Women's Street Footwear,65,750,487500,Outlet
3,West Gear,1128299,1/3/2021,Women's Athletic Footwear,60,650,390000,Outlet
4,West Gear,1128299,1/4/2021,Men's Apparel,65,550,357500,Outlet
5,West Gear,1128299,1/5/2021,Women's Apparel,80,725,580000,Outlet
6,West Gear,1128299,1/6/2021,Men's Street Footwear,60,975,585000,Outlet
7,West Gear,1128299,1/7/2021,Men's Athletic Footwear,65,825,536250,Outlet
8,West Gear,1128299,1/8/2021,Women's Street Footwear,65,825,536250,Outlet
9,West Gear,1128299,1/9/2021,Women's Athletic Footwear,60,700,420000,Outlet
10,West Gear,1128299,1/10/2021,Men's Apparel,65,575,373750,Outlet
11,West Gear,1128299,1/11/2021,Women's Apparel,80,875,700000,Outlet
12,West Gear,1128299,1/12/2021,Men's Street Footwear,60,1025,615000,Outlet
13,West Gear,1128299,1/13/2021,Men's Athletic Footwear,65,875,568750,Outlet
14,West Gear,1128299,1/14/2021,Women's Street Footwear,65,825,536250,Outlet
15,West Gear,1128299,1/15/2021,Women's Athletic Footwear,60,725,435000,Outlet
16,West Gear,1128299,1/16/2021,Men's Apparel,65,775,503750,Outlet
17,West Gear,1128299,1/17/2021,Women's Apparel,80,775,620000,Outlet
18,West Gear,1128299,1/18/2021,Men's Street Footwear,65,975,633750,Outlet
19,West Gear,1128299,1/19/2021,Men's Athletic Footwear,70,925,647500,Outlet
20,West Gear,1128299,1/20/2021,Women's Street Footwear,65,800,520000,Outlet
21,West Gear,1128299,1/21/2021,Women's Athletic Footwear,65,750,487500,Outlet
22,West Gear,1128299,1/22/2021,Men's Apparel,75,750,562500,Outlet
23,West Gear,1128299,1/23/2021,Women's Apparel,80,725,580000,Outlet
24,West Gear,1128299,1/24/2021,Men's Street Footwear,55,925,508750,Outlet
25,West Gear,1128299,1/25/2021,Men's Athletic Footwear,60,925,555000,Outlet
26,West Gear,1128299,1/26/2021,Women's Street Footwear,55,775,426250,Outlet
27,West Gear,1128299,1/27/2021,Women's Athletic Footwear,55,725,398750,Outlet
28,West Gear,1128299,1/28/2021,Men's Apparel,65,725,471250,Outlet
29,West Gear,1128299,1/29/2021,Women's Apparel,70,775,542500,Outlet
30,West Gear,1128299,1/30/2021,Men's Street Footwear,55,875,481250,Outlet
31,West Gear,1128299,1/31/2021,Men's Athletic Footwear,60,875,525000,Outlet
32,West Gear,1128299,2/1/2021,Women's Street Footwear,55,700,385000,Outlet
33,West Gear,1128299,2/2/2021,Women's Athletic Footwear,55,675,371250,Outlet
34,West Gear,1128299,2/3/2021,Men's Apparel,65,650,422500,Outlet
35,West Gear,1128299,2/4/2021,Women's Apparel,70,700,490000,Outlet
36,West Gear,1128299,2/5/2021,Men's Street Footwear,55,875,481250,Outlet
37,West Gear,1128299,2/6/2021,Men's Athletic Footwear,60,875,525000,Outlet
38,West Gear,1128299,2/7/2021,Women's Street Footwear,55,725,398750,Outlet
39,West Gear,1128299,2/8/2021,Women's Athletic Footwear,55,700,385000,Outlet
40,West Gear,1128299,2/9/2021,Men's Apparel,65,650,422500,Outlet
41,West Gear,1128299,2/10/2021,Women's Apparel,70,775,542500,Outlet
42,West Gear,1128299,2/11/2021,Men's Street Footwear,55,975,536250,Outlet
43,West Gear,1128299,2/12/2021,Men's Athletic Footwear,60,975,585000,Outlet
44,West Gear,1128299,2/13/2021,Women's Street Footwear,55,775,426250,Outlet
45,West Gear,1128299,2/14/2021,Women's Athletic Footwear,55,775,426250,Outlet
46,West Gear,1128299,2/15/2021,Men's Apparel,65,700,455000,Outlet
47,West Gear,1128299,2/16/2021,Women's Apparel,70,800,560000,Outlet
48,Kohl's,1189833,2/17/2021,Men's Street Footwear,35,700,245000,Outlet
49,Kohl's,1189833,2/18/2021,Men's Athletic Footwear,45,700,315000,Outlet
50,Kohl's,1189833,3/9/2021,Women's Street Footwear,45,700,315000,Outlet
51,Kohl's,1189833,3/10/2021,Women's Athletic Footwear,45,550,247500,Outlet
52,Kohl's,1189833,3/11/2021,Men's Apparel,50,500,250000,Outlet
53,Kohl's,1189833,3/12/2021,Women's Apparel,45,700,315000,Outlet
54,Kohl's,1189833,3/13/2021,Men's Street Footwear,35,750,262500,Outlet
55,Kohl's,1189833,3/14/2021,Men's Athletic Footwear,45,650,292500,Outlet
56,Kohl's,1189833,3/15/2021,Women's Street Footwear,45,675,303750,Outlet
57,Kohl's,1189833,3/16/2021,Women's Athletic Footwear,45,525,236250,Outlet
58,Kohl's,1189833,3/17/2021,Men's Apparel,50,450,225000,Outlet
59,Kohl's,1189833,3/18/2021,Women's Apparel,45,650,292500,Outlet
60,Kohl's,1189833,3/19/2021,Men's Street Footwear,35,800,280000,Outlet
61,Kohl's,1189833,3/20/2021,Men's Athletic Footwear,45,650,292500,Outlet
